,lon,-90.7964
0011000110,lon,-101.34
0011000111,lon,-101.3658
0011001,lat,36.7647
00110010,lon,-98.1331
001100100,lat,36.0719
0011001000,lon,-98.9603
0011001001,lon,-99.3817
001100101,lat,36.0642
0011001010,lon,-97.4142
0011001011,lon,-97.6067
00110011,lon,-98.4244
001100110,lat,37.6025
0011001100,lon,-99.3289
0011001101,lon,-99.235
001100111,lat,37.65
0011001110,lon,-97.7458
0011001111,lon,-97.4431
001101,lon,-99.9
0011010,lat,40.2233
00110100,lon,-101.9408
001101000,lat,39.3047
0011010000,lon,-103.2667
0011010001,lon,-103.1331
001101001,lat,39.3769
0011010010,lon,-100.9628
0011010011,lon,-101.0611
00110101,lon,-102.3411
001101010,lat,41.0103
0011010100,lon,-103.8156
0011010101,lon,-103.2342
001101011,lat,40.8433
0011010110,lon,-101.0344
0011010111,lon,-101.5428
0011011,lat,40.1
00110110,lon,-98.315
001101100,lat,39.4483
0011011000,lon,-99.4192
0011011001,lon,-99.0333
001101101,lat,39.2942
0011011010,lon,-97.6678
0011011011,lon,-97.6697
00110111,lon,-98.0733
001101110,lat,40.7258
0011011100,lon,-99.2903
0011011101,lon,-99.2981
001101111,lat,40.8586
0011011110,lon,-97.5928
0011011111,lon,-97.5922
00111,lat,38.7042
001110,lon,-94.1667
0011100,lat,37.0911
00111000,lon,-95.2333
001110000,lat,36.1747
0011100000,lon,-96.25
0011100001,lon,-96.1
001110001,lat,36.3219
0011100010,lon,-94.7725
0011100011,lon,-94.7967
00111001,lon,-95.5042
001110010,lat,37.8253
0011100100,lon,-96.1861
0011100101,lon,-96.1897
001110011,lat,37.8117
0011100110,lon,-95.06
0011100111,lon,-94.8778
0011101,lat,37.0536
00111010,lon,-92.4
001110100,lat,36.2
0011101000,lon,-93.25
0011101001,lon,-93.7167
001110101,lat,36.2747
0011101010,lon,-91.6169
0011101011,lon,-91.7944
00111011,lon,-92.7667
001110110,lat,37.8639
0011101100,lon,-93.5781
0011101101,lon,-93.3989
001110111,lat,37.8958
0011101110,lon,-92.105
0011101111,lon,-91.9811
001111,lon,-94.0269
0011110,lat,40.2486
00111100,lon,-95.2358
001111000,lat,39.2419
0011110000,lon,-95.6833
0011110001,lon,-96.1558
001111001,lat,39.5072
0011110010,lon,-94.6422
0011110011,lon,-94.7078
00111101,lon,-95.3867
001111010,lat,40.85
0011110100,lon,-96.1892
0011110101,lon,-96.3672
001111011,lat,40.7672
0011110110,lon,-94.8342
0011110111,lon,-95.0039
0011111,lat,40.1433
00111110,lon,-92.4667
001111100,lat,39.2833
0011111000,lon,-93.4194
0011111001,lon,-93.1469
001111101,lat,39.4194
0011111010,lon,-91.9414
0011111011,lon,-91.4281
00111111,lon,-92.5747
001111110,lat,40.9833
0011111100,lon,-93.3697
0011111101,lon,-93.6481
001111111,lat,40.8333
0011111110,lon,-91.3833
0011111111,lon,-91.9553
01,lon,-112.12
010,lat,48.0667
0100,lon,-119.15
01000,lat,45.2214
010000,lon,-122.3903
0100000,lat,43.3708
01000000,lon,-123.3572
010000000,lat,42.6003
0100000000,lon,-124.0747
0100000001,lon,-124.0625
010000001,lat,42.3167
0100000010,lon,-122.85
0100000011,lon,-122.8833
01000001,lon,-123.2206
010000010,lat,44.1667
0100000100,lon,-123.6167
0100000101,lon,-123.7533
010000011,lat,44.6167
0100000110,lon,-122.75
0100000111,lon,-123.05
0100001,lat,43.5611
01000010,lon,-121.062
010000100,lat,42.4333
0100001000,lon,-121.7814
0100001001,lon,-121.8936
010000101,lat,42.2667
0100001010,lon,-120.2167
0100001011,lon,-120.4167
01000011,lon,-121.2103
010000110,lat,44.3158
0100001100,lon,-121.7167
0100001101,lon,-121.9667
010000111,lat,44.4667
0100001110,lon,-120.4
0100001111,lon,-120.7533
010001,lon,-121.8333
0100010,lat,46.6833
01000100,lon,-122.6894
010001000,lat,45.9411
0100010000,lon,-123.1903
0100010001,lon,-123.7531
010001001,lat,45.6228
0100010010,lon,-122.3311
0100010011,lon,-122.2042
01000101,lon,-122.5833
010001010,lat,47.2614
0100010100,lon,-123.4006
0100010101,lon,-123.5906
010001011,lat,47.3767
0100010110,lon,-122.0333
0100010111,lon,-122.2667
0100011,lat,46.5833
01000110,lon,-120.6008
010001100,lat,45.61
0100011000,lon,-121.33
0100011001,lon,-121.2811
010001101,lat,45.95
0100011010,lon,-119.5667
0100011011,lon,-120.1333
01000111,lon,-120.9833
010001110,lat,47.2667
0100011100,lon,-121.4833
0100011101,lon,-121.4667
010001111,lat,47.3078
0100011110,lon,-120.3167
0100011111,lon,-120.2108
01001,lat,44.8872
010010,lon,-115.6186
0100100,lat,43.8
01001000,lon,-117.1142
010010000,lat,42.7083
0100100000,lon,-118.2167
0100100001,lon,-118.2244
010010001,lat,43.2044
0100100010,lon,-116.1
0100100011,lon,-116.4167
01001001,lon,-117.0833
010010010,lat,44.4
0100100100,lon,-118.3775
0100100101,lon,-118.1167
010010011,lat,44.1011
0100100110,lon,-116.9442
0100100111,lon,-116.3333
0100101,lat,42.9403
01001010,lon,-114.1167
010010100,lat,42.5333
0100101000,lon,-114.8333
0100101001,lon,-114.6667
010010101,lat,42.3019
0100101010,lon,-113.1528
0100101011,lon,-113.5833
01001011,lon,-114.0742
010010110,lat,43.7
0100101100,lon,-114.8167
0100101101,lon,-114.85
010010111,lat,43.7828
0100101110,lon,-113.16
0100101111,lon,-113.3622
010011,lon,-115.9667
0100110,lat,46.3153
01001100,lon,-117.9239
010011000,lat,45.6833
0100110000,lon,-118.45
0100110001,lon,-118.4628
010011001,lat,45.4239
0100110010,lon,-117.2247
0100110011,lon,-116.8333
01001101,lon,-117.4333
010011010,lat,47.3
0100110100,lon,-118.5397
0100110101,lon,-118.3
010011011,lat,46.95
0100110110,lon,-117.0156
0100110111,lon,-116.8167
0100111,lat,46.6167
01001110,lon,-113.8933
010011100,lat,45.9183
0100111000,lon,-114.6278
0100111001,lon,-114.5
010011101,lat,45.8833
0100111010,lon,-112.85
0100111011,lon,-112.9333
01001111,lon,-114.0983
010011110,lat,47.4667
0100111100,lon,-115.1097
0100111101,lon,-115.3594
010011111,lat,47.1828
0100111110,lon,-113.2667
0100111111,lon,-112.7833
0101,lon,-122.57
01010,lat,56.95
010100,lon,-124.65
0101000,lat,53.4333
01010000,lon,-126.32
010100000,lat,50.917
0101000000,lon,-127.65
0101000001,lon,-128.717
010100001,lat,49.58
0101000010,lon,-125.0
0101000011,lon,-125.2
01010001,lon,-130.36
010100010,lat,55.2667
0101000100,lon,-132.07
0101000101,lon,-132.9017
010100011,lat,54.5
0101000110,lon,-127.95
0101000111,lon,-127.62
0101001,lat,49.17
01010010,lon,-123.37
010100100,lat,48.62
0101001000,lon,-123.52
0101001001,lon,-123.63
010100101,lat,48.6
0101001010,lon,-122.8333
0101001011,lon,-122.85
01010011,lon,-123.17
010100110,lat,49.53
0101001100,lon,-123.95
0101001101,lon,-124.25
010100111,lat,49.35
0101001110,lon,-122.93
0101001111,lon,-122.93
010101,lon,-147.8739
0101010,lat,61.8667
01010100,lon,-150.6667
010101000,lat,59.7333
0101010000,lon,-153.3
0101010001,lon,-154.32
010101001,lat,61.2167
0101010010,lon,-149.5833
0101010011,lon,-149.2708
01010101,lon,-155.4333
010101010,lat,65.5858
0101010100,lon,-162.0167
0101010101,lon,-166.1167
010101011,lat,64.7919
0101010110,lon,-150.0989
0101010111,lon,-150.5833
0101011,lat,61.7833
01010110,lon,-135.2319
010101100,lat,59.5272
0101011000,lon,-135.9
0101011001,lon,-144.7633
010101101,lat,58.83
0101011010,lon,-134.3333
0101011011,lon,-133.3
01010111,lon,-142.1667
010101110,lat,64.2381
0101011100,lon,-145.5
0101011101,lon,-147.1667
010101111,lat,64.7767
0101011110,lon,-139.43
0101011111,lon,-133.02
01011,lat,50.3
010110,lon,-117.817
0101100,lat,49.1
01011000,lon,-120.6475
010110000,lat,48.6833
0101100000,lon,-121.6931
0101100001,lon,-122.27
010110001,lat,48.5667
0101100010,lon,-119.5333
0101100011,lon,-118.77
01011001,lon,-120.0
010110010,lat,49.35
0101100100,lon,-121.95
0101100101,lon,-120.87
010110011,lat,49.85
0101100110,lon,-119.58
0101100111,lon,-119.383
0101101,lat,49.02
01011010,lon,-114.9167
010110100,lat,48.4
0101101000,lon,-116.6333
0101101001,lon,-116.3361
010110101,lat,48.5394
0101101010,lon,-114.0575
0101101011,lon,-113.4294
01011011,lon,-115.07
010110110,lat,49.48
0101101100,lon,-117.52
0101101101,lon,-116.93
010110111,lat,49.67
0101101110,lon,-113.95
0101101111,lon,-113.58
010111,lon,-116.45
0101110,lat,52.45
01011100,lon,-120.12
010111000,lat,50.92
0101110000,lon,-121.0
0101110001,lon,-121.33
010111001,lat,50.93
0101110010,lon,-119.28
