011100011,lat,48.3042,59,71,47989,0
011100010,lat,48.2833,50,58,40130,0
10100001,lon,114.5778,113,128,97684,1
10010110,lon,-85.7667,121,161,108541,0
1110100,lat,44.683,117,484,142768,0
000001110,lat,35.7706,66,80,54190,0
000001111,lat,36.0469,53,68,43024,0
01001101,lon,-117.4333,116,139,101534,0
0101000,lat,53.4333,228,327,241726,0
1001100,lat,36.8628,200,262,199130,0
01011010,lon,-114.9167,91,132,79172,0
001010010,lat,31.0736,73,86,60298,0
001010011,lat,31.1333,65,75,53055,0
11110101,lon,6.5392,144,236,139834,1
11110100,lon,8.1792,168,257,166546,1
01011011,lon,-115.07,115,144,101240,0
001011011,lat,34.4833,57,64,45988,0
001011010,lat,34.3325,48,58,38554,0
111001,lon,-61.13,402,776,606142,1
111000,lon,-64.03,407,874,653558,1
111010100,lat,41.9,70,109,59460,0
111010101,lat,42.317,86,100,72110,0
011000100,lat,41.9481,54,61,43444,0
011000101,lat,42.0572,45,51,35875,0
0000,lon,-112.8003,425,2011,1165655,1
0001,lon,-112.6508,476,2108,1351618,1
001101011,lat,40.8433,65,77,53185,0
